股票代码,股票名称,涨跌幅,最新价,最高,最低,今开,涨跌额,换手率,量比,动态市盈率,成交量,成交额,昨日收盘,总市值,流通市值,行情ID,市场类型,更新时间,最新交易日
002249,大洋电机,2.05,4.98,5.0,4.84,4.87,0.1,1.66,1.57,14.36,297379,146162147.99,4.88,11964504187,8927899497,0.002249,深A,2024-06-14 15:34:51,2024-06-14
603477,巨星农牧,2.05,33.4,33.83,32.2,32.66,0.67,1.3,1.16,-30.85,66426,220122489.0,32.73,17036291006,17036291006,1.603477,沪A,2024-06-14 16:11:49,2024-06-14
000703,恒逸石化,2.04,6.99,7.03,6.8,6.86,0.14,0.49,1.25,15.49,178160,123384980.89,6.85,25627452979,25494875921,0.000703,深A,2024-06-14 15:34:36,2024-06-14
600446,金证股份,2.04,10.5,10.61,10.21,10.29,0.21,1.15,1.18,-31.19,108436,112823676.0,10.29,9924022553,9924022553,1.600446,沪A,2024-06-14 16:11:50,2024-06-14
002154,报 喜 鸟,2.04,6.0,6.04,5.83,5.88,0.12,2.05,1.81,8.75,240762,144164631.72,5.88,8756002374,7061497128,0.002154,深A,2024-06-14 15:34:15,2024-06-14
600238,海南椰岛,2.03,7.02,7.05,6.8,6.83,0.14,0.67,0.62,-105.14,29781,20643051.0,6.88,3146364000,3123911092,1.600238,沪A,2024-06-14 16:11:47,2024-06-14
600155,华创云信,2.03,6.52,6.61,6.34,6.39,0.13,1.68,1.77,199.24,381044,246753724.0,6.39,14744482146,14744482146,1.600155,沪A,2024-06-14 16:11:55,2024-06-14
000923,河钢资源,2.03,18.08,18.1,17.66,17.78,0.36,1.11,0.65,12.29,69497,124650219.21,17.72,11801339615,11352320880,0.000923,深A,2024-06-14 15:34:45,2024-06-14
000889,ST中嘉,2.03,2.01,2.02,1.93,1.97,0.04,2.04,0.72,-75.56,177509,35303958.0,1.97,1881945143,1748397849,0.000889,深A,2024-06-14 15:34:12,2024-06-14
002845,同兴达,2.03,13.59,13.6,13.21,13.28,0.27,3.15,0.87,148.97,70904,95456936.87,13.32,4451427671,3056257587,0.002845,深A,2024-06-14 15:34:09,2024-06-14
600030,中信证券,2.03,18.63,18.77,18.2,18.24,0.37,1.07,2.43,13.92,1211654,2242525169.0,18.26,276106787424,211761310717,1.600030,沪A,2024-06-14 16:11:46,2024-06-14
300613,富瀚微,2.02,36.78,37.15,34.94,35.41,0.73,4.81,1.15,58.77,104663,374563961.22,36.05,8488187669,8002506813,0.300613,深A,2024-06-14 15:34:30,2024-06-14
300616,尚品宅配,2.02,11.59,11.69,11.2,11.37,0.23,1.8,0.75,-7.52,23325,26800928.0,11.36,2602140208,1498787994,0.300616,深A,2024-06-14 15:34:33,2024-06-14
002358,森源电气,2.02,3.54,3.59,3.44,3.46,0.07,1.45,1.26,21.53,134831,47827600.86,3.47,3291339699,3288925518,0.002358,深A,2024-06-14 15:34:24,2024-06-14
000560,我爱我家,2.02,2.53,2.65,2.43,2.45,0.05,15.51,1.44,58.7,3487888,886390342.2,2.48,5959417153,5689750424,0.000560,深A,2024-06-14 15:34:09,2024-06-14
603496,恒为科技,2.01,25.34,25.45,24.55,24.85,0.5,2.68,1.1,50.23,85810,215613931.0,24.84,8114102218,8114102218,1.603496,沪A,2024-06-14 16:11:52,2024-06-14
601375,中原证券,2.01,3.55,3.56,3.45,3.48,0.07,1.12,1.54,31.51,387307,135952331.0,3.48,16482240685,12238694935,1.601375,沪A,2024-06-14 16:11:54,2024-06-14
300568,星源材质,2.01,9.14,9.17,8.82,8.93,0.18,1.87,1.07,28.69,226746,204485873.36,8.96,12293843007,11083107780,0.300568,深A,2024-06-14 15:34:48,2024-06-14
300657,弘信电子,2.01,15.75,15.98,15.54,15.88,0.31,3.05,1.7,68.43,141466,223200916.42,15.44,7692458382,7297795764,0.300657,深A,2024-06-14 15:34:45,2024-06-14
301213,观想科技,2.01,27.44,27.58,26.46,26.72,0.54,5.32,0.84,605.79,15304,41329338.0,26.9,2195199973,789075589,0.301213,深A,2024-06-14 15:34:36,2024-06-14
301295,美硕科技,2.01,19.31,19.99,18.62,18.85,0.38,19.19,2.04,55.79,48352,94131470.56,18.93,1946448000,486612000,0.301295,深A,2024-06-14 15:34:24,2024-06-14
300881,盛德鑫泰,2.01,25.92,26.03,25.28,25.58,0.51,2.66,1.15,14.32,15267,39442733.2,25.41,2851200000,1487970000,0.300881,深A,2024-06-14 15:34:21,2024-06-14
600353,旭光电子,2.01,6.61,6.8,6.33,6.48,0.13,3.75,0.89,54.38,310423,204115128.0,6.48,5493844119,5478441761,1.600353,沪A,2024-06-14 16:11:57,2024-06-14
600062,华润双鹤,2.0,21.37,21.49,20.77,20.96,0.42,0.79,0.86,13.35,80881,171267211.0,20.95,22217465837,21943849572,1.600062,沪A,2024-06-14 16:11:48,2024-06-14
002796,世嘉科技,2.0,8.15,8.2,7.82,8.05,0.16,2.76,0.81,-60.09,64075,51708218.2,7.99,2057279626,1889461631,0.002796,深A,2024-06-14 15:34:18,2024-06-14
688103,国力股份,2.0,31.17,31.38,29.7,30.3,0.61,4.4,1.71,179.68,27968,85834631.0,30.56,2990294075,1979204732,1.688103,沪A,2024-06-14 16:11:49,2024-06-14
300383,光环新网,2.0,8.69,8.71,8.48,8.53,0.17,0.95,1.32,23.81,170683,146847960.23,8.52,15621081840,15587618110,0.300383,深A,2024-06-14 15:34:33,2024-06-14
300693,盛弘股份,1.99,24.56,24.75,23.8,24.06,0.48,3.26,1.55,28.79,81344,199303177.54,24.08,7640257670,6124676549,0.300693,深A,2024-06-14 15:34:51,2024-06-14
000709,河钢股份,1.99,2.05,2.07,2.01,2.01,0.04,0.7,1.32,33.31,728291,148712766.39,2.01,21191098239,21187595262,0.000709,深A,2024-06-14 15:34:42,2024-06-14
300465,高伟达,1.99,6.67,6.89,6.44,6.55,0.13,2.33,1.53,366.92,104031,69350373.8,6.54,2979904254,2979904254,0.300465,深A,2024-06-14 15:34:24,2024-06-14
000929,兰州黄河,1.99,6.67,6.68,6.45,6.54,0.13,2.01,0.77,-357.46,37330,24554706.0,6.54,1239059220,1238980667,0.000929,深A,2024-06-14 15:34:42,2024-06-14
000838,财信发展,1.98,2.57,2.59,2.48,2.52,0.05,0.87,0.67,-82.47,91319,23347386.0,2.52,2828187777,2708178247,0.000838,深A,2024-06-14 15:34:24,2024-06-14
002970,锐明技术,1.98,35.48,35.7,34.1,34.42,0.69,5.44,0.95,28.89,60804,213081096.0,34.79,6139423720,3968053894,0.002970,深A,2024-06-14 15:34:39,2024-06-14
603866,桃李面包,1.98,5.66,5.69,5.36,5.55,0.11,1.75,2.64,19.64,280090,154753287.0,5.55,9054410417,9054410417,1.603866,沪A,2024-06-14 16:11:48,2024-06-14
300698,万马科技,1.97,36.18,36.3,35.07,35.47,0.7,1.61,1.1,817.46,19872,71200865.0,35.48,4848120000,4470796718,0.300698,深A,2024-06-14 15:34:42,2024-06-14
002236,大华股份,1.97,16.54,16.58,16.13,16.17,0.32,1.54,1.32,24.28,321222,528140469.14,16.22,54490517095,34437300783,0.002236,深A,2024-06-14 15:34:09,2024-06-14
300678,中科信息,1.97,25.88,25.91,25.21,25.48,0.5,3.04,1.62,252.72,86668,222889420.0,25.38,7670477263,7390006360,0.300678,深A,2024-06-14 15:34:21,2024-06-14
